cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag
15.140705,394849776,2.05,102936606,693944,0.111783918,0.103953,0.0,810009108,-O0
110.819268,81804711,2.38,36215613,672010,0.024368444,0.014134,0.0,194721091,-O1
112.947144,80011350,2.4,35329841,682863,0.023811377,0.016046,0.0,192460621,-O2
116.575474,78239192,2.39,34998373,678412,0.023318494,0.015984,0.0,187168341,-O3
109.991604,82058271,2.34,36201804,673333,0.024423656,0.016423,0.0,192394373,-march=native -O1
111.315042,80632206,2.34,35255207,679033,0.024071478,0.012307,0.0,188625643,-march=native -O2
115.18644,79164755,2.32,34993690,680887,0.023608467,0.011951,0.0,183766410,-march=native -O3
117.149218,77026045,2.29,32830005,681063,0.022995369,0.015521,0.0,176658883,-O2 -march=native -flto
119.166816,75940889,2.25,32048671,670643,0.022600721,0.015311,0.0,170700660,-O3 -march=native -flto -funroll-loops
14.446646,408257865,1.98,102932303,697071,0.115476407,0.105274,0.0,809741975,-ffast-math
140.755501,72760912,2.45,33639793,546327,0.021772902,0.008925,0.0,178307268,-march=native -ffast-math -O1
144.964566,70825051,2.47,32677779,541692,0.02108806,0.010829,0.0,174784323,-march=native -ffast-math -O2
146.204326,69668126,2.48,32657718,543189,0.020737104,0.01069,0.0,173012695,-march=native -ffast-math -O3
