cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag
0.792419,10294945622,1.79,2281072985,24358334,2.845004402,2.809091,0.016005,18476262391,-O0
3.191629,2665411260,2.0,878105135,24085338,0.739984285,0.684066,0.004007,5324650976,-O1
3.271162,2605951068,2.01,838328034,24342681,0.720736287,0.672352,0.007979,5229710254,-O2
3.37131,2529283302,1.93,817690359,24381747,0.700983731,0.653904,0.012046,4888318846,-O3
3.209474,2659967074,1.98,878081495,24078173,0.736722606,0.685042,0.019942,5255699161,-march=native -O1
3.272369,2606061298,1.97,833312910,24191175,0.721843422,0.665639,0.01601,5145070003,-march=native -O2
3.352429,2546544206,1.9,817802894,24356427,0.70517796,0.663006,0.016012,4829989188,-march=native -O3
3.341256,2545197477,1.78,713745751,23616124,0.705118204,0.653697,0.011975,4537844633,-O2 -march=native -flto
3.433483,2479692606,1.75,704098699,23536244,0.686890904,0.635406,0.016055,4331901729,-O3 -march=native -flto -funroll-loops
0.817608,9962960891,1.85,2281065179,24282527,2.756634967,2.724589,0.007991,18460913554,-ffast-math
4.251976,2054493662,2.11,722691821,16078068,0.570367415,0.509264,0.016033,4337435889,-march=native -ffast-math -O1
4.357278,2006870448,2.12,677906957,16402218,0.555996498,0.513652,0.016014,4246289787,-march=native -ffast-math -O2
4.39989,1988265700,2.07,678536263,16342278,0.550504936,0.506454,0.012007,4123214613,-march=native -ffast-math -O3
