cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag,data_name,size_of_matrix
0.763072,183433846291,1.7,38627603088,454541274,50.760033955,49.887826,0.715799,312668360980,-O0,./data/1999_27j_S,1483274
0.767496,10617984921,1.74,2281955183,24320619,2.938887872,2.895435,0.011999,18480159272,-O0,./data/1999_28,94188
0.445257,283073100,1.95,69544996,570751,0.080188081,0.073011,0.0,551693008,-O0,./data/2000_8,8008
0.329346,395757060,2.04,102555255,673468,0.111250831,0.100835,0.0,809064406,-O0,./data/2005_6,14161
0.327838,80987497,1.95,20388453,223243,0.02410892,0.014146,0.0,157876098,-O0,./data/2005_26,2548
0.870014,5389816136,1.66,1100808280,12492542,1.491864194,1.460598,0.003995,8955628448,-O0,./data/2009_3,15912
0.018193,905714896,2.27,261168800,937053,0.252993912,0.239768,0.003963,2054261263,-O0,./data/2011_19E,48614
0.076253,265492655,2.2,74674100,380555,0.075595565,0.067973,0.0,585207205,-O0,./data/2011_19W,13125
0.789974,2159562525956,1.63,437080276167,6075693783,599.137043313,582.295635,15.774539,3520632296520,-O0,./data/2015_50,10434109
0.741039,492307761304,1.72,104954675228,1109469030,136.195112834,134.649542,1.455723,845207409153,-O0,./data/2021_865,4696595
