cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag,data_name,size_of_matrix
3.226199,44816161833,1.81,13514521508,426505030,12.415315102,12.034293,0.379889,81108949890,-O3,./data/1999_27j_S,1483274
3.374462,2528226993,1.93,817799359,24400663,0.70071368,0.636152,0.015976,4888806450,-O3,./data/1999_28,94188
2.678896,61609870,2.2,24394558,560763,0.018397619,0.011208,0.0,135525977,-O3,./data/2000_8,8008
2.540819,77265637,2.41,34669914,661974,0.023045347,0.015577,0.0,186332091,-O3,./data/2005_6,14161
2.310292,19958935,2.02,7574501,218162,0.006376358,0.003263,0.0,40372099,-O3,./data/2005_26,2548
3.652289,1307241935,1.82,394460245,12261471,0.362911641,0.313523,0.0,2379109184,-O3,./data/2009_3,15912
0.481059,132547728,3.12,80934970,925336,0.038817803,0.023558,0.0,413707952,-O3,./data/2011_19E,48614
1.2817,45006946,2.76,24063836,374123,0.013629446,0.003541,0.0,124195749,-O3,./data/2011_19W,13125
3.326235,525063572931,1.72,150037985370,5158667078,145.104979087,141.570261,3.339235,900679539361,-O3,./data/2015_50,10434109
3.240331,117445580309,1.86,37204093172,1035674863,32.450731575,31.941492,0.435962,218333786933,-O3,./data/2021_865,4696595
