cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag,data_name,size_of_matrix
5.125646,28745953254,1.65,6366782167,235601827,7.953192179,7.232771,0.65556,47403338903,-Ofast -march=native -funroll-loops -flto,./data/1999_27j_S,1483274
5.509659,1778844322,1.75,415566263,16010080,0.492825732,0.442237,0.016027,3110221517,-Ofast -march=native -funroll-loops -flto,./data/1999_28,94188
4.322735,44901352,2.17,16824935,414337,0.013642178,0.003551,0.0,97519563,-Ofast -march=native -funroll-loops -flto,./data/2000_8,8008
3.669901,54584094,2.51,25678386,467697,0.016441975,0.006771,0.0,137078471,-Ofast -march=native -funroll-loops -flto,./data/2005_6,14161
3.696079,15791656,1.98,5828251,177218,0.005163614,0.0,0.0,31309869,-Ofast -march=native -funroll-loops -flto,./data/2005_26,2548
5.962121,821417158,1.63,165089474,6846233,0.228942844,0.189418,0.008033,1336276158,-Ofast -march=native -funroll-loops -flto,./data/2009_3,15912
0.434863,121985242,3.08,75028448,873278,0.0359783,0.020056,0.0,376001132,-Ofast -march=native -funroll-loops -flto,./data/2011_19E,48614
1.248899,39465086,2.76,21639658,345539,0.012008504,0.003122,0.0,108793984,-Ofast -march=native -funroll-loops -flto,./data/2011_19W,13125
4.639646,379851062232,1.42,70811387087,3195314983,105.299082141,89.436871,15.50992,540168641197,-Ofast -march=native -funroll-loops -flto,./data/2015_50,10434109
5.113642,80528878565,1.71,18441578845,573791729,22.333677368,20.878084,1.335355,136513331877,-Ofast -march=native -funroll-loops -flto,./data/2021_865,4696595
