cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag,data_name,size_of_matrix
3.44971,43912521844,1.83,12001474277,419725085,12.160156893,11.765811,0.331877,80254147865,-O3,./data/1999_27j_S,1483274
3.52309,2678090068,1.91,767350292,25814049,0.744492917,0.690177,0.019994,5109115217,-O3,./data/1999_28,94188
2.833725,58457924,2.2,22183517,543837,0.01729329,0.00715,0.0,128466122,-O3,./data/2000_8,8008
2.49698,65551794,2.52,30419498,566183,0.01949742,0.011974,0.0,164838980,-O3,./data/2005_6,14161
2.413197,18804022,2.03,7062816,215683,0.006014063,0.0,0.0,38179046,-O3,./data/2005_26,2548
3.799986,1268653294,1.8,338398193,11974439,0.352855727,0.322107,0.01193,2283060155,-O3,./data/2009_3,15912
0.349212,131004071,3.14,80167494,888177,0.038180456,0.021747,0.0,410180561,-O3,./data/2011_19E,48614
0.968266,42998982,2.79,23425622,364134,0.012800232,0.003303,0.0,120198194,-O3,./data/2011_19W,13125
3.545035,481087099337,1.74,124131331034,4707328988,133.088612738,129.889805,3.187651,834401843605,-O3,./data/2015_50,10434109
3.436225,113812431639,1.88,32652686073,1003459084,31.615951329,31.120974,0.463877,212819730022,-O3,./data/2021_865,4696595
