cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag,data_name,size_of_matrix
5.72831,26520818343,2.13,7452410920,266943736,7.340354053,6.98308,0.327907,56537958689,-Ofast -march=native -funroll-loops -flto,./data/1999_27j_S,1483274
5.907426,1527228046,2.25,469534290,17916850,0.423749339,0.381844,0.015923,3429856150,-Ofast -march=native -funroll-loops -flto,./data/1999_28,94188
4.851077,43699341,2.43,17730976,465751,0.013392022,0.003448,0.0,106007440,-Ofast -march=native -funroll-loops -flto,./data/2000_8,8008
4.229262,54961296,2.68,27139780,503813,0.016547756,0.006847,0.0,147322425,-Ofast -march=native -funroll-loops -flto,./data/2005_6,14161
4.046727,15384736,2.11,5972941,184754,0.005010479,0.0,0.0,32508643,-Ofast -march=native -funroll-loops -flto,./data/2005_26,2548
6.623111,751264755,2.22,208779930,8163328,0.209253944,0.174287,0.008086,1666100215,-Ofast -march=native -funroll-loops -flto,./data/2009_3,15912
0.445336,121995202,3.1,75213312,872948,0.035567396,0.024246,0.0,377773995,-Ofast -march=native -funroll-loops -flto,./data/2011_19E,48614
1.368009,39541695,2.8,21791416,350600,0.012054951,0.003126,0.0,110044026,-Ofast -march=native -funroll-loops -flto,./data/2011_19W,13125
5.855763,306082788703,2.04,79837527628,2934165516,84.611925154,81.561855,2.927787,624538057638,-Ofast -march=native -funroll-loops -flto,./data/2015_50,10434109
5.837533,69977790778,2.25,21753133126,616799913,19.346833768,18.837248,0.495921,157691067055,-Ofast -march=native -funroll-loops -flto,./data/2021_865,4696595
