cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag,data_name,size_of_matrix
5.340679,27188839019,2.07,7390315679,273024614,7.519374453,6.877172,0.575729,56338326855,-Ofast -march=native -funroll-loops -flto,./data/1999_27j_S,1483274
5.687336,1693657140,2.2,497854438,18958133,0.46913959,0.410843,0.023982,3724391965,-Ofast -march=native -funroll-loops -flto,./data/1999_28,94188
4.612396,42823886,2.41,17477832,441484,0.013025901,0.004526,0.0,103095954,-Ofast -march=native -funroll-loops -flto,./data/2000_8,8008
4.021584,54510495,2.69,26925689,484436,0.016390092,0.006669,0.0,145260965,-Ofast -march=native -funroll-loops -flto,./data/2005_6,14161
3.803191,15217848,2.1,5927569,180283,0.005029118,0.0,0.0,31904468,-Ofast -march=native -funroll-loops -flto,./data/2005_26,2548
6.441176,771096551,2.21,204679182,7487228,0.214716386,0.183549,0.004013,1703641621,-Ofast -march=native -funroll-loops -flto,./data/2009_3,15912
0.477763,122224429,3.08,75116003,903135,0.035285438,0.022104,0.0,376758982,-Ofast -march=native -funroll-loops -flto,./data/2011_19E,48614
1.471964,39836052,2.77,21850834,362434,0.012075367,0.003162,0.0,110277293,-Ofast -march=native -funroll-loops -flto,./data/2011_19W,13125
4.798337,372092937177,1.83,88629998533,3798633885,103.210651195,87.380177,15.780808,681742276694,-Ofast -march=native -funroll-loops -flto,./data/2015_50,10434109
5.341975,89678160367,2.12,25568098557,783321636,24.877938835,23.18041,1.523617,188919258586,-Ofast -march=native -funroll-loops -flto,./data/2021_865,4696595
