cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag
0.29079,47,250,350,6,52682572,48059000,1005000,912,-O1 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized -fopenmp-simd
0.289007,56,251,807,88,51903023,47932000,998000,462,-O2 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized -fopenmp-simd
0.256635,0,239,658,57,53100760,47655000,1008000,252,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized -fopenmp-simd
0.256585,62,241,156,32,52802941,47175000,1007000,198,-Ofast -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized -fopenmp-simd
0.283507,48,249,556,46,52896633,46947000,1002000,835,-O1 -march=native -ftree-vectorize -fopt-info-vec-optimized -fopenmp-simd
0.285687,27,249,984,13,52263031,48988000,1010000,247,-O2 -march=native -ftree-vectorize -fopt-info-vec-optimized -fopenmp-simd
0.2932,0,248,729,8,51183640,47802000,0,21,-O3 -march=native -ftree-vectorize -fopt-info-vec-optimized -fopenmp-simd
0.299694,25,248,287,25,51117250,49132000,997000,178,-Ofast -march=native -ftree-vectorize -fopt-info-vec-optimized -fopenmp-simd
0.28276,31,249,926,31,52968789,49044000,999000,548,-O1 -march=native -ftree-vectorize -fopt-info-vec-optimized -fopenmp-simd -funroll-loops
0.278423,170,250,178,21,52058148,48153000,1006000,227,-O2 -march=native -ftree-vectorize -fopt-info-vec-optimized -fopenmp-simd -funroll-loops
0.252255,10,241,752,8,52853025,47296000,0,265,-O3 -march=native -ftree-vectorize -fopt-info-vec-optimized -fopenmp-simd -funroll-loops
0.256869,42,239,291,4,53108644,46815000,1005000,578,-Ofast -march=native -ftree-vectorize -fopt-info-vec-optimized -fopenmp-simd -funroll-loops
0.217762,34,240,448,57,55441436,49550000,999000,687,-O1 -march=native -ftree-vectorize -fopt-info-vec-optimized -fopenmp-simd -funroll-loops -flto
0.271197,112,246,503,22,50553981,46872000,1009000,593,-O2 -march=native -ftree-vectorize -fopt-info-vec-optimized -fopenmp-simd -funroll-loops -flto
0.308763,17,250,658,5,49711040,45408000,993000,111,-O3 -march=native -ftree-vectorize -fopt-info-vec-optimized -fopenmp-simd -funroll-loops -flto
0.299466,58,245,31,3,50670791,46550000,997000,414,-Ofast -march=native -ftree-vectorize -fopt-info-vec-optimized -fopenmp-simd -funroll-loops -flto
