8192x8192x8192	1.477084 s	744379.891581 MFLOPS
16384x16384x16384	11.417343 s	770415.062612 MFLOPS
24576x24576x24576	34.881488 s	851076.477871 MFLOPS
32768x32768x32768	84.062356 s	837101.736450 MFLOPS
40960x40960x40960	172.904397 s	794884.085406 MFLOPS
40960x40960x40960	168.692963 s	814728.433408 MFLOPS
40960x40960x40960	162.693824 s	844770.564075 MFLOPS
40960x40960x40960	153.013321 s	898215.610078 MFLOPS
40960x40960x40960	157.444958 s	872933.342661 MFLOPS
40960x40960x40960	157.060147 s	875072.105160 MFLOPS
40960x40960x40960	144.364440 s	952027.753317 MFLOPS
40960x40960x40960	151.068143 s	909781.180484 MFLOPS
40960x40960x40960	145.890127 s	942071.655555 MFLOPS
40960x40960x40960	142.458921 s	964761.999510 MFLOPS
40960x40960x40960	132.891427 s	1034219.863348 MFLOPS
