cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag,data_name,size_of_matrix
5.565295,27237632390,2.24,7524600038,224353845,7.534356396,7.151594,0.315827,60920228384,-Ofast -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized -fopenmp-simd,./data/1999_27j_S,1483274
5.7642,1567177841,2.35,464343627,15035442,0.434812442,0.37274,0.012083,3679727019,-Ofast -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized -fopenmp-simd,./data/1999_28,94188
4.525273,45961265,2.43,18503560,441676,0.013921322,0.003602,0.0,111891378,-Ofast -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized -fopenmp-simd,./data/2000_8,8008
3.821783,58806543,2.62,28098699,512806,0.017686094,0.010746,0.0,153882236,-Ofast -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized -fopenmp-simd,./data/2005_6,14161
3.662263,16214240,2.09,6217886,191759,0.005314931,0.0,0.0,33933364,-Ofast -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized -fopenmp-simd,./data/2005_26,2548
6.232458,796623888,2.29,210213000,7684530,0.222249384,0.194838,0.004004,1821418636,-Ofast -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized -fopenmp-simd,./data/2009_3,15912
0.382003,130376184,3.02,79830284,869161,0.03830806,0.02165,0.0,393948186,-Ofast -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized -fopenmp-simd,./data/2011_19E,48614
1.179184,41999423,2.73,23024895,351094,0.012781831,0.004416,0.0,114585426,-Ofast -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized -fopenmp-simd,./data/2011_19W,13125
4.905809,360375927879,1.95,86214843662,3131143216,99.590293408,84.803529,14.736967,706723064001,-Ofast -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized -fopenmp-simd,./data/2015_50,10434109
5.624038,80701741511,2.29,22719544779,591851598,22.31815325,21.71187,0.471651,184627246036,-Ofast -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized -fopenmp-simd,./data/2021_865,4696595
