cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,cpus_utilized,flag,data_name,size_of_matrix
25.976853,172665330850,0.49,15315736442,265818436,2.087152891,49.518559,1.611284,78038828096,25.047,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/1999_27j_S,1483274
21.690978,11931910257,0.65,1715846476,24914633,0.149059716,3.442,0.168953,7301913292,25.458,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/1999_28,94188
3.225327,474887780,0.81,183938143,2041711,0.019987464,0.123516,0.015946,676305512,13.738,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2000_8,8008
2.804786,553456634,0.88,132796043,2278006,0.023872757,0.08463,0.022068,513221644,8.765,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2005_6,14161
0.839708,243140261,0.78,60996007,1100204,0.014340777,0.010272,0.006183,224632268,5.27,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2005_26,2548
24.640938,6490987491,0.59,955878795,11006372,0.065198508,1.836715,0.040027,4104946888,29.285,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2009_3,15912
0.233209,984612415,0.99,292975241,4170098,0.045024645,0.236189,0.044703,1157474795,9.079,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2011_19E,48614
0.389558,349923306,0.95,138030395,1635510,0.020694187,0.042195,0.012843,517922342,8.977,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2011_19W,13125
28.683436,2112331551957,0.26,69707902480,2266246583,21.165389977,625.886992,9.332135,555118576739,30.033,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2015_50,10434109
27.161204,358332664266,0.44,30682626560,537458582,5.636039194,102.972086,3.100734,181094269888,21.689,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2021_865,4696595
