cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag,data_name,size_of_matrix
12.527721,45080831234,1.8,13534582360,428127013,12.484794805,12.050884,0.336052,81193959140,-O3,./data/1999_27j_S,1483274
14.413279,2533930216,1.93,818416153,24457692,0.701514106,0.637554,0.012048,4891056874,-O3,./data/1999_28,94188
71.881138,62776821,2.17,24694016,580483,0.018375028,0.011222,0.0,136270740,-O3,./data/2000_8,8008
119.679502,78468707,2.39,35027138,679511,0.022706189,0.01159,0.0,187259741,-O3,./data/2005_6,14161
94.321289,20477717,1.99,7770754,230400,0.006439877,0.003381,0.0,40892711,-O3,./data/2005_26,2548
4.438423,1312561817,1.81,395057175,12300650,0.364872229,0.314823,0.003986,2381347889,-O3,./data/2009_3,15912
627.575587,134076788,3.09,81212986,940472,0.038948359,0.025996,0.0,414396899,-O3,./data/2011_19E,48614
369.575249,45947186,2.72,24374629,393894,0.013753195,0.003478,0.0,124960729,-O3,./data/2011_19W,13125
7.297883,531906321541,1.69,150062463026,5164046941,147.279460526,143.800244,3.306718,900785765367,-O3,./data/2015_50,10434109
15.35743,119013866503,1.84,37207408786,1037576611,33.018361013,32.568586,0.419857,218348542093,-O3,./data/2021_865,4696595
