cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag,data_name,size_of_matrix
3.287122,36617331143,1.88,11470745379,346808493,10.130881945,9.846814,0.232033,68967077995,-O3,./data/1999_27j_S,1483274
3.35215,2544395142,1.94,817892526,24388763,0.704059866,0.656833,0.016007,4924310098,-O3,./data/1999_28,94188
2.740023,61856843,2.2,24462597,562641,0.018238513,0.007436,0.0,136308975,-O3,./data/2000_8,8008
2.575722,77938499,2.4,34814708,665941,0.022569543,0.015197,0.0,187282270,-O3,./data/2005_6,14161
2.357174,19741759,2.05,7560628,215643,0.006171685,0.003247,0.0,40464813,-O3,./data/2005_26,2548
3.655589,1305885878,1.83,394473267,12250133,0.362115711,0.332948,0.0,2391394238,-O3,./data/2009_3,15912
0.458959,132850496,3.11,80757288,899716,0.037814377,0.023111,0.0,412971805,-O3,./data/2011_19E,48614
1.276203,45296065,2.75,24175446,376904,0.013357977,0.003464,0.0,124464755,-O3,./data/2011_19W,13125
3.360092,505639633158,1.75,146196618707,5007217320,139.785269806,136.495815,3.166962,883550004386,-O3,./data/2015_50,10434109
3.265601,123659620260,1.88,39193636338,1101112071,34.178670378,33.650575,0.463922,232099538398,-O3,./data/2021_865,4696595
