cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag,data_name,size_of_matrix
3.502402,371,188,150,364,9402059390,8959595000,413014000,7,-O3,./data/1999_27j_S,1483274
3.698378,30,200,137,0,631594011,600368000,20005000,168,-O3,./data/1999_28,94188
3.137784,49,225,942,31,15311639,11538000,985000,638,-O3,./data/2000_8,8008
2.984538,24,252,211,11,18778945,15197000,0,243,-O3,./data/2005_6,14161
2.906622,15,214,545,56,4860881,2674000,0,930,-O3,./data/2005_26,2548
4.022623,31,190,860,45,327244754,300388000,10028000,969,-O3,./data/2009_3,15912
0.568851,26,336,302,12,29699880,23741000,1968000,139,-O3,./data/2011_19E,48614
1.638874,49,294,474,69,10603290,5832000,1005000,887,-O3,./data/2011_19W,13125
3.31325,236,169,495,209,140707785313,127102624000,13580250000,959,-O3,./data/2015_50,10434109
3.4133,8,189,836,179,32381053777,31256190000,1094841000,691,-O3,./data/2021_865,4696595
