percent_of_burned_cells,cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag,data_name,size_of_matrix
0.248829,5.45476,453,173,352,164,7416572026,6812924000,601993000,858,-Ofast -march=native -funroll-loops -flto,./data/1999_27j_S,1483274
0.257438,5.36927,608,175,773,305,500447298,461238000,38935000,163,-Ofast -march=native -funroll-loops -flto,./data/1999_28,94188
0.035713,4.232691,815,201,603,103,12904977,9725000,2917000,327,-Ofast -march=native -funroll-loops -flto,./data/2000_8,8008
0.015031,3.618142,591,208,230,466,18214996,16084000,2010000,794,-Ofast -march=native -funroll-loops -flto,./data/2005_6,14161
0.021181,4.793107,774,190,980,479,4676699,2370000,2370000,661,-Ofast -march=native -funroll-loops -flto,./data/2005_26,2548
0.813463,5.984382,364,172,406,588,229219710,214104000,15007000,684,-Ofast -march=native -funroll-loops -flto,./data/2009_3,15912
0.000538,0.440956,577,331,471,827,27950364,25519000,3926000,395,-Ofast -march=native -funroll-loops -flto,./data/2011_19E,48614
0.002049,1.370323,447,289,925,529,10732725,9652000,1072000,309,-Ofast -march=native -funroll-loops -flto,./data/2011_19W,13125
0.444847,5.04118,578,156,484,947,96530747548,82830738000,13660977000,805,-Ofast -march=native -funroll-loops -flto,./data/2015_50,10434109
0.216977,5.67182,359,183,783,258,19972145245,18841476000,1125789000,782,-Ofast -march=native -funroll-loops -flto,./data/2021_865,4696595
