cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag,data_name,size_of_matrix
3.503,90,165,980,422,11958541443,11383857000,575942000,966,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/1999_27j_S,1483274
3.644924,74,173,301,22,683716278,648498000,21996000,88,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/1999_28,94188
2.88032,41,171,683,14,21426639,19830000,0,905,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/2000_8,8008
2.569452,28,185,765,103,26190205,23426000,983000,341,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/2005_6,14161
2.576462,24,174,658,8,5412828,3471000,0,935,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/2005_26,2548
4.184009,92,171,421,102,334258113,310812000,14976000,622,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/2009_3,15912
0.255573,60,199,123,56,61812777,58663000,1013000,708,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/2011_19E,48614
0.798984,33,207,275,16,17553734,15979000,0,387,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/2011_19W,13125
3.244123,157,150,317,48,154116716298,140752089000,13296957000,330,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/2015_50,10434109
3.541445,282,171,894,145,32020267006,31122065000,877905000,127,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/2021_865,4696595
