cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag,data_name,size_of_matrix
132,225,126,26,1239210658,1079523000,39533000,577,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/1999_27j_S,1483274
0,217,554,62,186382476,71745000,1012000,633,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/1999_28,94188
38,186,780,1,122238562,5834000,0,8,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/2000_8,8008
48,201,576,25,127205188,11729000,0,997,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/2005_6,14161
1,152,265,58,118948065,2668000,932000,309,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/2005_26,2548
62,193,838,6,129473868,13378000,1004000,141,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/2009_3,15912
24,205,357,23,152818327,38865000,1003000,412,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/2011_19E,48614
88,196,781,11,126778631,9928000,947000,616,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/2011_19W,13125
487,208,491,187,8713581455,8308518000,284909000,543,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/2015_50,10434109
18,224,80,97,3734339604,3484613000,123023000,16,-O3 -march=native -mfma -mavx2 -ftree-vectorize -funroll-loops -ffast-math -fopt-info-vec-optimized,./data/2021_865,4696595
