cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag,data_name,size_of_matrix
3.430499,250,177,897,174,11589740031,10963671000,623924000,110,-O3,./data/1999_27j_S,1483274
3.719175,10,196,729,1,630109177,594689000,20012000,639,-O3,./data/1999_28,94188
3.213542,6,221,704,107,15474537,11826000,1005000,912,-O3,./data/2000_8,8008
3.007903,122,247,846,27,18578529,14372000,992000,106,-O3,./data/2005_6,14161
2.915545,30,209,885,6,4714055,2428000,0,255,-O3,./data/2005_26,2548
4.061879,20,187,386,33,324550760,302531000,12998000,549,-O3,./data/2009_3,15912
0.509768,50,324,735,29,30555066,24513000,2971000,606,-O3,./data/2011_19E,48614
1.530045,9,284,558,62,10843435,6125000,980000,142,-O3,./data/2011_19W,13125
3.282885,153,162,73,324,146016884181,132065908000,13922619000,588,-O3,./data/2015_50,10434109
3.402188,18,183,683,119,30629921047,29452201000,1123938000,304,-O3,./data/2021_865,4696595
